label,sentence
7,コンクリート2次製品（ケーブル用ボックス）の鋼製型枠調整のため、Ｌ型の側板（454ｋｇ）を取り外し仮置きしていたところ、側板が倒れ下敷きとなった。
17,走行中のタクシーが、橋上の凍結部分でスリップして歩道に乗り上げ、橋の欄干を突き破って約10m下の川（水深75cm）に落下してタクシー運転手は溺死して乗客１名が外傷性ショックで死亡した。
17,走行中のタクシーが、橋上の凍結部分でスリップして歩道に乗り上げ、橋の欄干を突き破って約10m下の川（水深75cm）に落下して乗客１名が外傷性ショックで死亡した。
10,埠頭にある船舶誘導用の導灯点検中、第2号導灯の不点灯があったので予備灯に切り換える作業を行い、車に乗り込んで後退させたときに誤って車ごと海中に転落し、約2km離れた岸壁で水死体で発見された。
4,トラック運転手として、材木（輸入材の束、１束、長さ3.68ｍの板を96本、約1.1ｔ）をトラックで運送し、搬入先の従業員が3段積みの荷をフォークリフトで持ち上げその下に台木を入れていたときに、3段のうち最上段のものが落下し下敷きになった。
12,出口の扉の補修作業を行って者が、何らかの理由でトランスミッションの歯車を焼き入れする侵炭炉に入って一酸化炭素中毒で死亡した。なお、救出しようとして炉内に入った同僚も倒れた。
17,"タンクローリー（牛乳16,800ℓ積載）を運転して高速道路の下り線を走行中、料金所手前の急な左カーブを曲がりきれずに道路右のガードレールに衝突して首などを強打した。"
17,朝刊の配達を終えて販売店へバイクで戻る途中、道路脇の警戒標識の柱に激突した。
17,3tトラックで高速道路を走行中、ガードレールに衝突して走行車線に止まっていた乗用車に接触したので、トラックを降りて乗用車の方へ歩いていたとき後続車にはねられた。
7,工場内の除雪のため、車庫より除雪車両（ＲＶ車に除雪用ブレードを取付けた車）を出そうとしてドアを開けて車外からエンジンを駆けたところ、ギアが入っていたために車両が前進し、開けたドアが車庫の壁にぶつかってドアと車体の間に身体を挟まれた。
1,４ｔトラックの荷台でコンクリート製のＬ字型側溝をドラグショベルで路上におろす作業中、側溝を吊った直後に地上にいた合図者がトラック運転者に前進させる合図を出してトラックが前進したため、バランスを崩して側溝とともに地上に墜落した。
1,地上約43mのサイロ上のコンベアー付近で集塵ダクトの取り替え工事中、コンベアー上に設けられた覆いの上からサイロの上まで約8.3m墜落した。
1,建造中の30万tタンカー船首部分のボースンストア内で足場の解体撤去作業中、開口部より約24m下の船底部に墜落した。
17,軽自動車で片側二車線の右側車線を走行中、中央車線を突破して反対車線を走行中の大型トラックに激突した。
1,木造平屋建て家屋の屋根の防水塗装中、3.5ｍ下に転落した。
7,一部平家の２階建て住宅解体作業中、解体用のアタッチメントを取り付けたバックホーの作業範囲内に立ち入り、２階建屋の外壁と右旋回した重機の旋回体との間に挟まれた。
7,抄紙機ドライパ－ト（多筒式）部の通紙作業で、22番目のドライロ－ル（全部で約30本ある）の下から上へ通紙しているときに、23番目のドライロ－ル食込み部に上半身を巻込まれた。
17,翌日のパンの仕入れのため乗用車で行き、その帰り道に片側一車線の見通しの良い直線道路で道路右側の道路標識の支柱に激突した。
17,産業廃棄物を運搬するため4tトラックで大橋を走行中、欄干を突き破り約10m下の川に転落した。
6,チップの原材料となる雑木の伐倒予定木の根元の雪堀作業をしていたところ、他の者がナラ立木（胸高径：16cm）を伐倒したため伐倒木の下敷きになった。
2,道路新設工事における水路用ボックスカルバートの設置作業で掘削した盛土の整形のため、盛土の最上部までドラグショベルを進行させたときに、ドラグショベルが盛土を乗り越え反対側で転倒し、ドラグショベルの下敷きになった。
1,会社の別荘の屋根の雪下ろし作業中、1.5mほど積もっていた雪が滑落したため巻き込まれて転落し、軒先より約4mあった雪の中に埋没した。
17,片側１車線の道路をタクシーで走行中、カーブを曲がりきれずに中央線をはみ出してきた対向車に正面衝突された。
17,軽トラックで会社の土場へ向かうため堤防道路を走行中、緩い左カーブのところでブレーキを掛けたときに、軽トラックが横滑りして対向の乗用車と正面衝突した。
7,ドラグショベルのバケットでクラッシャランをブロック積の裏側に入れる作業中、コンクリートブロックの写真撮影をしようとした者が移動したドラグショベルに轢かれた。
17,国道を走行中、道路左側の縁石に乗り上げてセンターラインを超え、さらに対向車線の縁石も乗り越えて電柱に衝突した。
17,22ｔ大型トレーラーで砂糖を積んで走行中、降雪のため右カーブを曲がりきれずに路外に転落した。
7,産業廃棄物リサイクルセンターで廃木材を粉砕してチップ状にする粉砕機の操作業務中、旋回した廃木材投入用重機（ドラグショベルに爪状のアタッチメントを取付けたもの）の右後部のカウンターウエイト部と粉砕機の昇降階段部分に頭部等を挟まれた。
1,吐水槽躯体工事の外部足場解体前の養生用屋根撤去作業で、手すりとクリアシートを約半分まで撤去を終えたときに、クリアシート撤去後の開口部（幅110cm）から墜落し、11.8m下の吐水槽底のコンクリート面に激突した。
