ID,月,"発生
時間",災害状況,業種(大分類)コード,業種(大分類),業種(中分類)コード,業種(中分類),業種(小分類)コード,業種(小分類),事故の型
1,12,14～15,災害発生現場において、元請事業場の労働者２名がＡタンク内の飼料の清掃作業に従事していた。Ａタンクに隣接したＢタンクの清掃作業を終えた被災者が来て、スクリューコンベヤーを稼働させたままタンク内に立ち入り清掃作業を行おうとしたところ、スクリューコンベヤーに巻き込まれて被災したもの。,1,製造業,101,食料品製造業,10109,その他の食料品製造業,はさまれ、巻き込まれ
2,12,21～22,国道沿いにある飲食店の駐車場から下り三車線を横切って上り線に右折しようとしていたタクシーと、下り線を南進中の普通乗用車が衝突した。,4,運輸交通業,402,道路旅客運送業,40201,ハイヤー・タクシー業,交通事故（道路）
3,12,16～17,同日、駅に入線する８名（本）の電車の運転士に対し、実設訓練を行っていた。被災者は２本目の電車の出発前に、出発信号機から約１．２ｍ、線路の路盤から２．５ｍの高さにある、排気シャフトのコンクリート壁の縁（幅約２０ｃｍ）に立ち、表示灯に訓練カバーを取り付けていたところ、誤って排気シャフト内の約１２．４ｍの地下３階に墜落し、死亡したもの。,4,運輸交通業,401,鉄道・軌道・水運・航空業,40101,鉄道・軌道業,墜落、転落
4,12,10～11,木造２階建新築住宅建設において、前日の基礎コンクリート打設作業に続き、モルタルの敷均しを行うための準備作業中、仰向けの状態で倒れている被災者を発見、病院に搬送されたが、後日死亡したもの。型枠の高さは１４５センチメートル、型枠上には歩み板が敷かれており、被災者が発見された際には、歩み板が１枚被災者の身体の下にあり、保護帽は着用していなかった。,3,建設業,302,建築工事業,30202,木造家屋建築工事業,墜落、転落
5,12,12～13,マンションの清掃業務終了後、共用棟内のロッカー室において、地下へ通じる階段下に被災者が倒れているのを同僚が発見した。,15,清掃・と畜業,1501,清掃・と畜業,150101,ビルメンテナンス業,墜落、転落
6,12,18～19,現場で負傷した労働者を乗せた救急車が、自動車道を走行中、道を譲ったトラックを追い越す際、路肩に寄せていたトラックの右後部に追突した。この事故で、救急車内で付き添っていた同僚の被災者が死亡し、同乗していた救急隊員３名とトラックの運転者が軽いけがを負った。,1,製造業,115,輸送用機械等製造業,11501,造船業,交通事故（道路）
7,12,8～9,被災者は、立体駐車場屋上（５Ｆ）の社用車置き場から墜落した。,12,教育・研究業,1201,教育・研究業,120109,その他の教育研究業,墜落、転落
8,12,8～9,製材所から収集してきた端材の束等を事業場敷地内においてトラックの荷台から降ろすため、被災者が台付け用具を取り外した。端材の束（重量約４００キログラム）が荷台から落下し、近くで作業をしていた被災者が下敷きとなった。,1,製造業,104,木材・木製品製造業,10409,その他の木材・木製品製造業,飛来、落下
9,12,16～17,井戸掘削の工事現場で被災者が１人で井戸の掘削作業を行っていたが、夕方になっても被災者が戻って来なかったため、被災者の様子を見に行ったところ、さく井掘削機械のそばに倒れていた被災者が発見された。その後、病院へ搬送されたが、右肩付近で腕を切断しており、出血性ショックにより死亡した。,3,建設業,301,土木工事業,30199,その他の土木工事業,はさまれ、巻き込まれ
10,12,14～15,ＲＣ４階建てビル解体工事現場において、被災者及び作業員２名の３名で内部解体作業を行っていたところ、２階作業床の端から誤って１階に墜落したもの。事故発生状況の目撃者はなく、廃材の回収に来たダンプトラックの運転手が発見し、救急搬送されたが、死亡確認されたもの。,3,建設業,302,建築工事業,30209,その他の建築工事業,墜落、転落
11,12,10～11,ドラグ・ショベル（移動式クレーン仕様）を用いてつり上げた鋼製型枠の束（全長１．５メートル、推定質量約５００ｋｇ）をトラックの荷台に下ろす作業において、玉掛けに使用したチェーンが切断して荷が崩れ、その下にいた被災者が下敷きになったもの。,7,畜産・水産業,701,畜産業,70101,畜産業,飛来、落下
12,12,10～11,土捨て場において、ドラグショベルを運転していた被災者が、ドラグショベルと一緒に路肩から約１５ｍ（勾配３５度）転落し、背面をドラグショベルで圧迫された状態で頭部が残土に埋もれ、窒息により死亡した。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,墜落、転落
13,12,6～7,１０ｔトラックが片側１車線の国道から事業場構内に入る際、切り返しを行っていた。荷役作業をアシストするために屋外に出てきた被災者は任意で国道まで出てトラックを誘導していたところ、道路を走行してきた軽自動車にはねられたもの。なお、加害車両はブレーキ痕がなかった。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
14,12,12～13,警備を終え次の現場に原動機付バイクに乗って移動中の事故。信号待ちをしていたところ、右折をしようとしていたトラックに信号無視の乗用車がぶつかり、その反動でトラックが被災者に突進し、トラックの下敷きとなった。,17,その他の事業,1702,その他の事業,170201,警備業,交通事故（道路）
15,12,0～1,被災者は自家用車にて新聞配達中に、車の方向転換をするため一般住宅敷地内に後進で侵入したところ、住宅の外壁に車の左後部が衝突したことから、衝突した外壁を確認するため運転席から降りたところ、直後に転倒して敷地の傾斜により逸走した車の車体下部と路面の隙間に腹部等を挟まれたもの。なお、車が逸走した距離は数十センチであり、逸走した路面の傾斜は最大３度程度であった。,8,商業,802,小売業,80205,新聞販売業,はさまれ、巻き込まれ
16,12,18～19,台風で破損した倉庫屋根の端部に取り付けられた部材交換作業終了後、同僚とともに屋根上から高所作業車のバスケット部に乗り移り、被災者が運転し地上に移動しようとしたところ、高所作業車が動かなくなり、被災者が状況確認のため、バスケット部から屋根上に移動しようとしたところ、突然、高所作業車が動き出して２４メートル下の地面に墜落した。,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,墜落、転落
17,12,10～11,被災者は、２階建て事務所の煙突掃除を同僚１名及び施設通所者１名と行っていた。事務所外の平屋部分に掛けてあった移動はしごを昇っていたところ、はしごが転位し、はしごから１．７メートル下の地上のコンクリートに墜落した。救急車で病院に搬送され入院したが、同病院で死亡した。,13,保健衛生業,1302,社会福祉施設,130201,社会福祉施設,墜落、転落
18,12,8～9,請け負った倉庫の外壁工事が終了したため、足場の解体作業を行っていた。被災者は駐輪場の屋根に置いてあったインパクトドライバーを取りに行き、駐輪場の屋根から屋根（巾約８０ｃｍ）に移動しようとしたところ、足を滑らせ約２．３ｍ下のコンクリート床に墜落したもの。その後容体が急変し脳挫傷により死亡した。,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,墜落、転落
19,12,14～15,工場内において、直立ボール盤の主軸に作業服の襟とエプロンが巻き込まれて、被災労働者の首が絞まり、窒息し、死亡したもの。,1,製造業,112,金属製品製造業,11209,その他の金属製品製造業,はさまれ、巻き込まれ
